English,Japanese
problems,問題
detective,探偵
prison,刑務所
major,選考科目
stick,スティック
offer,オファー
difficult,難しい
smart,頭いい
personal,個人的
record,記録
stopped,停止
hide,隠れる
whether,かどうか
bank,銀行
trip,旅行
relax,リラックス
america,アメリカ
public,公共
list,リスト
afternoon,午後
brain,脳
fix,修理
bastard,ろくでなし
proud,誇りに思う
tea,お茶
service,サービス
screaming,叫んでいる
forward,フォワード
angry,怒り
park,公園
soul,魂
fighting,ファインティング
peter,ピーター
rich,リッチ
agent,エージェント
blow,吹く
paul,ポール
dress,ドレス
mary,メアリー
missed,逃した
scene,シーン
killing,殺す
standing,立っている
saved,保存されました
mm,んん
respect,尊敬
killer,キラー
ice,氷
mess,混乱
tough,厳しい
feels,感じる
church,教会
sad,悲しい
cell,細胞
drunk,酔っ払い
share,共有
camera,カメラ
mm-hmm,うーん、うーん
within,内で
card,カード
fly,飛ぶ
ben,ベン
girlfriend,彼女
laugh,笑う
smell,匂い
broken,壊れた
mum,お母さん
honest,正直
often,頻繁
starting,起動
calls,電話
y,y
spent,過ごした
third,三番目
english,英語
visit,訪問
mama,ママ
judge,裁判官
window,窓
hungry,お腹がすいた
dare,敢えて
relationship,関係
moved,移動しました
prove,証明する
private,プライベート
wall,壁
seat,シート
i-i,い、い
position,位置
lieutenant,中尉
realize,気づく
lt,それ
especially,特に
machine,機械
walking,歩く
art,美術
pleasure,喜び
